"income","age","education","petition_signed","g"
6,30,5,0,0.233521434553968
8,34,6,0,0.333188726449324
6,60,3,0,0.0820633998297071
3,68,3,0,0.0586328848407491
9,18,5,1,0.31689531551506
9,52,5,0,0.219249763212138
3,72,7,0,0.219478147426695
4,93,3,0,0.0446154453842404
2,22,2,0,0.0711208421381697
2,18,3,0,0.107268801972655
4,33,5,0,0.198607818437826
3,86,5,0,0.0946107725594384
9,58,7,1,0.359983676403942
9,41,7,0,0.41959128302921
6,36,7,0,0.378969584199111
3,68,5,1,0.119956063355307
10,40,7,0,0.443099909903418
7,44,7,0,0.370298398081076
7,64,5,0,0.166671535764779
4,54,2,0,0.0531590073098608
9,47,7,1,0.398184879703461
9,50,6,0,0.299659318895199
10,43,5,0,0.258060628503488
6,40,3,0,0.107229185618804
4,52,1,0,0.037618618127664
5,74,5,0,0.127946955476526
2,29,1,0,0.0445938754510979
8,41,3,0,0.122181637045996
5,69,5,0,0.136412034517416
4,63,5,0,0.137296234684822
5,60,7,0,0.283056409371292
10,65,6,0,0.271054386557829
2,60,3,0,0.0607094951168089
2,48,3,0,0.0716337604596354
8,63,6,1,0.245650424440967
11,22,5,0,0.339631378975769
3,62,5,0,0.129626649612401
2,31,2,0,0.0628276542479706
6,88,3,1,0.0558286287328738
9,45,6,1,0.315376479225686
1,77,2,0,0.0303923384066399
8,55,7,1,0.351548187839009
3,22,6,0,0.284526385649987
4,25,6,0,0.292078042662534
5,56,7,1,0.295192713318796
9,61,4,0,0.142520308691288
3,79,3,0,0.0502857884774804
3,62,2,0,0.0439797142867637
4,32,6,1,0.271177033142416
8,59,6,0,0.256757283143976
9,53,7,0,0.377160907209826
3,86,7,0,0.186122863125333
5,72,6,0,0.182707368468429
3,50,3,0,0.0751399407348462
4,60,3,1,0.0706445410895908
7,65,5,0,0.16463104725096
2,75,2,0,0.0338272366100212
3,40,2,0,0.0598471647849748
9,54,5,1,0.214237187859749
6,65,7,0,0.284535790212729
3,37,5,0,0.177238453647034
4,62,7,0,0.2611547099947
3,32,6,0,0.255449467290433
9,42,7,0,0.416000132641161
5,25,7,0,0.39828403526563
1,43,5,0,0.143570343050881
8,25,6,1,0.363333613527813
9,50,5,0,0.224346134086113
9,50,6,1,0.299659318895199
10,50,7,0,0.407036987526434
3,78,5,0,0.105223841168831
8,42,6,0,0.307484084747905
2,66,2,0,0.0384494509737418
4,38,5,1,0.187119446062191
1,77,5,1,0.092128861214411
2,74,3,0,0.0499393271961969
2,20,5,1,0.203382861485914
4,48,5,0,0.16569166720337
10,50,6,0,0.31695010265907
6,49,6,0,0.253989204872988
10,46,7,0,0.421364861237245
2,61,3,0,0.0598730498833437
6,61,6,0,0.221902598904541
7,55,3,0,0.0945142953707733
11,60,6,1,0.302723154630629
9,52,6,0,0.293499462395679
10,49,6,0,0.32015494769726
5,62,4,0,0.105867542389224
5,49,5,1,0.175065901472731
8,62,6,1,0.248396500170493
9,66,5,1,0.185920920037848
8,64,7,0,0.321886746869832
4,51,3,0,0.0798816010931922
1,64,3,0,0.0531925815022983
8,75,6,0,0.214314627488648
6,70,5,0,0.144416474983604
5,70,5,0,0.134682127553237
3,72,3,0,0.0554570434712275
7,54,5,0,0.188197449817896
8,45,6,0,0.298134072350444
3,85,3,0,0.0462199732365524
7,39,6,0,0.299702737521342
1,66,7,1,0.20712848583448
9,31,7,1,0.455911290136467
7,68,3,0,0.0793180449517733
9,48,7,0,0.394652364809206
5,47,3,0,0.0908083449215639
1,49,2,0,0.0452470005857258
9,36,7,0,0.437667765170606
2,76,2,0,0.0333480208938281
9,50,7,1,0.387620579425509
5,73,3,0,0.0637053348175659
2,70,2,0,0.0363246575441589
1,63,3,0,0.0539410533364056
8,43,7,0,0.392914874449999
3,61,3,0,0.0646041407089063
9,68,7,0,0.326716782870995
1,92,2,0,0.0245028680533063
3,66,6,0,0.171970870804504
7,73,6,0,0.205759073602485
6,54,2,0,0.0619399052500143
2,69,3,1,0.0535603403090999
7,55,3,0,0.0945142953707733
9,62,6,0,0.263843707036661
9,40,6,0,0.331527766903246
1,25,2,0,0.063269836760478
9,58,6,0,0.275472764637176
12,55,7,1,0.428529712989605
3,74,3,0,0.0539304968722049
3,33,5,0,0.18601487542729
9,34,5,0,0.268097526502379
6,70,5,0,0.144416474983604
4,78,3,0,0.0550662534583781
6,38,4,0,0.154695484725082
4,59,6,0,0.199842354791703
6,19,2,0,0.0996680362879513
2,27,6,0,0.254067611993576
9,59,4,0,0.146167038619704
5,18,3,0,0.13288859614399
2,73,3,0,0.0506444711204433
5,61,6,0,0.208216384864278
8,70,5,0,0.16563447746557
8,33,5,0,0.255283325195354
6,45,3,0,0.100364589703368
3,30,6,0,0.26110588068616
10,65,5,1,0.200868471013074
7,18,3,0,0.152715209156421
3,43,4,1,0.117600831009588
1,69,2,0,0.034072734158422
3,30,5,0,0.192814607260917
5,46,6,0,0.247078623088377
6,67,5,1,0.149975759061705
10,42,6,0,0.343054069123725
2,58,2,0,0.0430622000641849
3,56,3,0,0.0692110119136662
4,56,4,0,0.106578192116331
6,46,3,0,0.0990393919113652
3,37,3,0,0.0896136363299469
5,49,5,0,0.175065901472731
7,21,5,0,0.273972114494385
6,48,6,0,0.256796764878469
5,56,5,0,0.160638202677656
10,34,5,0,0.284306457265054
11,61,5,0,0.224310135725752
8,46,5,0,0.220533785734599
5,36,7,1,0.360079010871485
6,40,5,0,0.208140565004683
8,34,7,0,0.425019179252817
4,23,6,1,0.298220659406442
7,56,6,0,0.249796605505208
4,76,3,0,0.0566230244572049
2,80,5,0,0.0952539095911554
4,26,3,0,0.11156408500613
1,75,3,0,0.0455824756025386
2,39,3,1,0.0809888931534755
7,55,3,0,0.0945142953707733
6,90,4,0,0.0782797527511082
5,58,4,0,0.111589172002275
6,45,3,0,0.100364589703368
4,76,6,0,0.162701488077493
3,70,3,0,0.0570241957290841
2,55,5,0,0.132157618878071
4,75,5,0,0.117627095741127
1,76,3,0,0.0449444752534194
2,73,3,0,0.0506444711204433
5,65,7,0,0.26831868650518
6,61,6,0,0.221902598904541
2,69,4,0,0.0772506184331289
1,54,5,1,0.124733581868454
2,55,3,0,0.0650579582272722
3,59,1,0,0.0314818808980434
5,73,6,0,0.180513086308279
9,54,7,0,0.373699090250234
3,80,3,0,0.0495853777960794
5,74,3,0,0.0628303744251755
6,46,3,0,0.0990393919113652
2,73,3,0,0.0506444711204433
3,72,6,0,0.159720970126322
5,92,6,0,0.142658068533064
8,61,3,0,0.0938756339334592
12,61,7,1,0.406987056089816
2,21,5,0,0.201001338420273
5,51,1,0,0.0412471673265061
5,61,7,0,0.280069942605579
8,36,6,0,0.326661114868121
2,61,5,0,0.122324750899023
3,79,6,0,0.146333563656429
